Course Code,Course Name,L-T-P,Credits,Discipline,Program,Course category,Slot Lecture\Venue,Tutorial Slot\Venue,Lab slot\Venue,Instructor
NCN101,NATIONAL SERVICE SCHEME,X-X-X,1 to 4,All,BTech,PC,Dr.,,,Krishna Murari
NCN102,National Sports Organization,X-X-X,1 to 4,All,BTech,PC,Dr.,,,Pawan Kumar Mishra
BML511,Physiology,2-0-0,2,BSBM,MTech,PC,B23,,,DPGC_BSBM
BML512,Molecular Biology,3-0-0,3,BSBM,MTech,PC,D,,,Dr. Arun Kumar Upadhyay
BML513,Biochemistry,2-0-0,2,BSBM,MTech,PC,C12,,,Dr. Ashish Kumar Tripathi
BML514,Evolutionary principles in Health and Diseases,3-0-0,3,,,PE,K,,,Dr. Neetika Ahlawat
BML615,Biomaterials Science and Engineering,3-0-0,3,,,PE,J,,,Dr. Suchetan Pal
BML618,Principles of Epidemiology and Public Health,3-0-0,3,,,PE,L,,,Dr. Henu Kumar Verma
BMP581,Bioengineering Lab 1,0-0-2,1,BSBM,MTech,PC,U23,,,DPGC_BSBM
BMT799,MTech Thesis,X-X-X,15,BSBM,MTech,TC,DPGC_BSBM,,,
BMT895,PhD Candidacy,X-X-X,0,BSBM,PhD,TC,DPGC_BSBM,,,
BMT899,PhD Thesis,X-X-X,12 to 15,BSBM,PhD,TC,DPGC_BSBM,,,
MAL403,Probability and Statistics,3-1-0,4,CS&DS&EE&ECE&MTMA,BTech/MSC,PC,C,,,H3 Dr. Lakshmi Kanta Patra
CS499,Thesis (BTech),X-X-X,6 to 12,CSE,BTech,TC,DUGC_CSE,,,
CS799,Thesis (PhD) Old,X-X-X,30,CSE,PhD,TC,DPGC_CSE,,,
CSL301,Operating Systems,3-0-2,4,CSE,BTech,PC,D,,,O23 Dr. SK Subidh Ali
CSL302,Compiler Design,3-0-2,4,CSE,BTech,PC,B,,,U23 Prof. Santosh Biswas
CSL502,Foundation of Computer Science,3-0-0,3,CSE,MTech,PC,I,,,Dr. Barun Gorain PE for ECE
CSL503,Computer Systems Engineering,2-0-2,3,CSE,MTech,PC,M12,,,T23 Dr. SK Subidh Ali PE for ECE
CSL605,Computer Networks and Cyber Security,2-0-2,3,CSE,MTech,PC,F23,,,"O23 Dr. Anand M Baswade , Prof. Souradyuti Poul"
CSL622,Quantum Computing for Computer Scientists,2-0-2,3,,,PE,L,,,V23 Dr. Dhiman Saha
CSP203,Software Tool & Technologies Lab,1-0-4,3,CSE,BTech,PC,B1,,,"U12, S12 Dr. Anand M Baswade"
CSQ401,BTech Project - I,0-0-6,3,CSE,BTech,PC,"T,R",,,"Dr. Dhiman Saha, Dr. Amit Kumar Dhar"
